unique_id,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,reconciled_median,bottomup_median,level,spend,roas_q0.05,roas_q0.1,roas_q0.25,roas_q0.5,roas_q0.75,roas_q0.9,roas_q0.95,roas_reconciled_median,horizon_days,max_abs_coherence_error
total/meta/remarketing,15930.872066785138,19554.387684167137,34026.39947220193,39517.06357883857,52678.972583142604,82113.37868860553,100652.29886893158,39517.06357883857,39517.06357883859,campaign_type,3824.164287857143,4.165844055751053,5.113375423293953,8.897734749588517,10.333516189227796,13.775290133432286,21.472241386004228,26.320077092015246,10.333516189227796,30,0.0
total/bing/Search/bing::566560838,0.0,38.72416778572733,2964.145906138374,5389.871394506335,9736.205152849298,10621.626739019694,10771.322490605438,5389.871394506335,5389.87139450634,campaign,1053.9964285714284,0.0,0.03674032163298078,2.812292172712515,5.113747303500533,9.237417593573452,10.077478870982603,10.219505682011404,5.113747303500533,30,0.0
total/bing/Search/bing::569378946,0.0,0.0,0.0,470.90840691708985,3629.4291623956237,7698.339425211454,8863.58226939709,470.90840691708985,470.9084069170876,campaign,0.0,,,,,,,,,30,0.0
total/google/DEMAND_GEN/google::22819091664,0.0,0.0,0.0,1123.203951617923,1744.7948489684482,2078.534578648788,2252.9577273832683,1123.203951617923,1123.2039516179193,campaign,436.1526107142857,0.0,0.0,0.0,2.5752544499927574,4.00042280180555,4.765613062007765,5.165526176018084,2.5752544499927574,30,0.0
total/google/DEMAND_GEN/google::22819175439,0.0,0.0,0.0,1028.4005868640772,1978.9935645168318,2495.5111629227486,2560.162852405858,1028.4005868640772,1028.4005868640736,campaign,356.8370142857143,0.0,0.0,0.0,2.881989663887983,5.545931294370376,6.993420141456033,7.174600027215708,2.881989663887983,30,0.0
total/google/PERFORMANCE_MAX/google::18253990962,0.0,0.0,770.4454031496725,4396.130772183714,7322.13697174703,8647.863136331991,9131.248438294966,4396.130772183714,4396.1307721837065,campaign,1013.6079492857142,0.0,0.0,0.7601019740350325,4.337111577786708,7.223835386163765,8.53176333357104,9.008659062638294,4.337111577786708,30,0.0
total/google/PERFORMANCE_MAX/google::18259733009,0.0,0.0,0.0,563.4795508828446,3159.183231177979,3898.783148343423,4087.909142746221,563.4795508828446,563.4795508828435,campaign,71.77480392857143,0.0,0.0,0.0,7.850659563537171,44.015212278697724,54.31966281960727,56.954654265784,7.850659563537171,30,0.0
total/google/PERFORMANCE_MAX/google::21263646438,0.0,0.0,871.6845939451291,2376.457475166507,3898.9762156478155,5124.795931963981,6581.977698357007,2376.457475166507,2376.4574751665104,campaign,640.8641978571429,0.0,0.0,1.3601705273282236,3.7082075783179427,6.083935143646374,7.996695632397249,10.270471841562005,3.7082075783179427,30,0.0
total/google/PERFORMANCE_MAX/google::21269832716,0.0,0.0,0.0,2169.244421154728,5177.363892966784,6935.261138486725,7412.606087392776,2169.244421154728,2169.244421154729,campaign,166.40615035714285,0.0,0.0,0.0,13.035842824914043,31.11281573340327,41.67671160952997,44.54526513283165,13.035842824914043,30,0.0
total/google/PERFORMANCE_MAX/google::21551974931,19974.798327533375,23767.843347162274,28141.662427512463,29883.155532488723,30553.233045314857,32203.354605304965,33731.972473240785,29883.155532488723,29883.155532488738,campaign,7761.398243571429,2.5736082211833415,3.0623146244104382,3.6258495627152616,3.850228347352256,3.936562986008524,4.149169208264528,4.3461205590345955,3.850228347352256,30,0.0
total/google/PERFORMANCE_MAX/google::21555598453,0.0,0.0,795.0469158161281,4383.26343423098,7479.279602728828,9189.850540225561,11248.249647152235,4383.26343423098,4383.263434230996,campaign,1141.4981957142859,0.0,0.0,0.6964942378368212,3.8399214739784835,6.552160687427729,8.050692129631502,9.85393554662056,3.8399214739784835,30,0.0
total/google/PERFORMANCE_MAX/google::21560212684,3673.332974885435,4643.860282714849,8234.77482451082,10777.177397240692,11626.075728544683,14881.64255021649,18618.539630288295,10777.177397240692,10777.177397240697,campaign,2424.3105514285717,1.5152072710820206,1.9155385352665997,3.39674915808881,4.445460747959882,4.795621469243614,6.138505044845511,7.679931772485568,4.445460747959882,30,0.0
total/google/PERFORMANCE_MAX/google::21560247115,0.0,0.0,0.0,873.538262436295,1967.205703052883,2351.5937956138305,2472.6575447001514,873.538262436295,873.5382624362946,campaign,162.44314285714287,0.0,0.0,0.0,5.377501611160708,12.110118460235036,14.476411587787913,15.221680036532394,5.377501611160708,30,0.0
total/google/PERFORMANCE_MAX/google::21638781593,518.3998929118418,814.2426174588165,1353.2448433478194,2104.079427301618,2674.127964786977,3089.4819249444613,3973.453179778705,2104.079427301618,2104.079427301618,campaign,420.45711,1.2329435763658314,1.9365652241171913,3.2185086449074896,5.004266492964331,6.360049339603217,7.34791219238619,9.450317488456088,5.004266492964331,30,0.0
total/google/PERFORMANCE_MAX/google::21663737223,4229.024011341149,6170.777778798545,7688.724614607943,9500.991962665832,11378.431677881024,12190.930216839875,14048.506528066277,9500.991962665832,9500.991962665854,campaign,2042.990885357143,2.07001609339136,3.0204627064304344,3.7634649619417404,4.650530763873148,5.5694970346830095,5.967197555415786,6.87644111814547,4.650530763873148,30,0.0
total/google/PERFORMANCE_MAX/google::21776623830,0.0,0.0,1372.7459516453282,2614.783962961679,3350.7854003778275,4075.4333716452493,4265.293522060899,2614.783962961679,2614.783962961681,campaign,605.1249610714286,0.0,0.0,2.2685330137675317,4.321064459697658,5.537344541935534,6.734862439700595,7.048616065198847,4.321064459697658,30,0.0
total/google/PERFORMANCE_MAX/google::21777702230,5980.057588488031,7616.267527435086,8697.476998173297,9467.241652666497,10225.374155532325,10708.494503723161,11101.678759511105,9467.241652666497,9467.241652666502,campaign,2407.565255357143,2.483861060538912,3.1634729361905802,3.612561270694653,3.932288701874503,4.247184633014432,4.447852235737071,4.611164218626448,3.932288701874503,30,0.0
total/google/PERFORMANCE_MAX/google::21783084650,0.0,0.0,963.1933292460508,2947.8357740923198,4502.326377611729,5279.279060719842,5481.370490000329,2947.8357740923198,2947.8357740923193,campaign,638.1601660714286,0.0,0.0,1.5093285047475706,4.6192726071253585,7.055166738670724,8.272655269631695,8.58933349560838,4.6192726071253585,30,0.0
total/google/PERFORMANCE_MAX/google::21784340082,0.0,759.5875628701588,2941.575370265393,4869.684664914804,6466.596521554944,6867.763171108527,7000.579044959295,4869.684664914804,4869.684664914815,campaign,604.5096321428573,0.0,1.2565350864263045,4.866052108778048,8.055594825929925,10.697259692343103,11.360882946999167,11.58059139627559,8.055594825929925,30,0.0
total/google/PERFORMANCE_MAX/google::21784340304,0.0,0.0,0.0,1637.7164220319298,5964.436172878345,9646.264680425187,11605.474636557807,1637.7164220319298,1637.7164220319269,campaign,285.0133392857143,0.0,0.0,0.0,5.746104467027017,20.926866748855005,33.844958641585535,40.719057801444826,5.746104467027017,30,0.0
total/google/PERFORMANCE_MAX/google::21794370952,15161.305959356348,17176.309236188656,18436.975387606206,19448.46512057591,20512.859739931086,21884.307465700273,22197.29371535013,19448.46512057591,19448.46512057591,campaign,5544.867859285714,2.734295269808182,3.0976949626354657,3.325052256516938,3.507471343614895,3.6994316655498327,3.9467680783504537,4.003214193495599,3.507471343614895,30,0.0
total/google/PERFORMANCE_MAX/google::21802413975,0.0,2046.6112852540818,4425.4542640533855,6527.334709746419,7806.525608237192,8683.646312003306,9987.780321140148,6527.334709746419,6527.334709746428,campaign,717.0320667857144,0.0,2.8542813913868,6.171905649759366,9.103267499606986,10.887275436971745,12.11054109606289,13.929335637544094,9.103267499606986,30,0.0
total/google/PERFORMANCE_MAX/google::21802413978,0.0,1026.00646034481,5041.500545909728,8630.673926759544,10412.183045076348,10941.905303355561,11068.138413371282,8630.673926759544,8630.673926759564,campaign,1962.027005357143,0.0,0.5229318748128283,2.569536776071049,4.398855827771098,5.306850016155126,5.576837257326044,5.641175367694073,4.398855827771098,30,0.0
total/google/PERFORMANCE_MAX/google::21808837082,12953.875653575293,16780.270550087844,20394.68566217252,22053.375129770804,24983.190432523057,31122.844086776164,35037.50520590403,22053.375129770804,22053.375129770826,campaign,2777.2300639285713,4.664314930845592,6.042088758880518,7.343534814441307,7.940780785937079,8.995722305116747,11.2064335220219,12.615989456898367,7.940780785937079,30,0.0
total/google/PERFORMANCE_MAX/google::21812740018,0.0,0.0,0.0,1660.357931346747,6776.680086681767,10005.036143775842,11895.85231039936,1660.357931346747,1660.357931346744,campaign,246.85554214285713,0.0,0.0,0.0,6.726030604513977,27.452007063953427,40.52992311586772,48.189529014159795,6.726030604513977,30,0.0
total/google/PERFORMANCE_MAX/google::22094147466,0.0,0.0,0.0,2476.098366507586,8369.123476988985,19003.9497648871,21346.57494157081,2476.098366507586,2476.0983665075855,campaign,301.7138678571429,0.0,0.0,0.0,8.20677678521553,27.738610546571373,62.986663158238365,70.75105659935427,8.20677678521553,30,0.0
total/google/PERFORMANCE_MAX/google::22104151159,0.0,0.0,0.0,1948.2858528561553,6082.140831562494,14243.819679049244,15134.162707341064,1948.2858528561553,1948.2858528561565,campaign,257.3183314285714,0.0,0.0,0.0,7.571500413669428,23.63664025720929,55.35485793013998,58.81494187887711,7.571500413669428,30,0.0
total/google/PERFORMANCE_MAX/google::22211017642,0.0,0.0,55.427668721605926,416.1228158464988,712.1924185462185,877.995900324726,938.3187148580696,416.1228158464988,416.12281584649884,campaign,119.58561214285713,0.0,0.0,0.46349780486461833,3.4797063659246725,5.9555025540650535,7.341986085047346,7.846418127100046,3.4797063659246725,30,0.0
total/google/PERFORMANCE_MAX/google::22211017645,911.7180212318747,1268.1156812792601,1664.4459549225135,2655.5017578502902,4176.772920274321,4574.077518424342,4740.001746066288,2655.5017578502902,2655.5017578502907,campaign,646.0175689285713,1.4112898241203735,1.9629739844110536,2.576471654916474,4.110572042575367,6.465416919235732,7.08042279099392,7.337264455404276,4.110572042575367,30,0.0
total/google/PERFORMANCE_MAX/google::22211017651,0.0,0.0,263.9940477181991,622.5773001499992,1018.9876844220531,1131.640512379092,1156.515103018768,622.5773001499992,622.5773001499991,campaign,183.94016464285713,0.0,0.0,1.435216980645726,3.384672952526769,5.539778038149229,6.152220829943877,6.287452798926689,3.384672952526769,30,0.0
total/google/PERFORMANCE_MAX/google::22211017654,5732.179835663573,5991.944140343707,6613.805158533865,7093.476752911011,7772.199431712766,8165.342829818448,16620.848905452578,7093.476752911011,7093.476752911023,campaign,1999.8922392857141,2.8662443521011363,2.9961335029150384,3.3070807659597032,3.546929486282987,3.886309111579283,4.08289140255617,8.310872245491046,3.546929486282987,30,0.0
total/google/PERFORMANCE_MAX/google::22227081821,0.0,0.0,0.0,820.0329162584362,1250.8731929416595,1727.0455262447713,1952.609770417948,820.0329162584362,820.0329162584362,campaign,251.91624535714286,0.0,0.0,0.0,3.25518076492396,4.965432821405744,6.855633799226924,7.751027599072557,3.25518076492396,30,0.0
total/google/PERFORMANCE_MAX/google::22296346455,6077.9613103725615,9414.264733110793,14094.229898961932,20652.14112815533,22778.74770023447,32185.064147895348,35754.18935844164,20652.14112815533,20652.141128155334,campaign,3965.124038571428,1.5328552779807503,2.37426739782461,3.5545495580612054,5.208447687199206,5.744775567838553,8.11703841665723,9.017167939927376,5.208447687199206,30,0.0
total/google/PERFORMANCE_MAX/google::22379725812,1840.8388517617914,2219.9610700482126,3551.6783220775937,4117.292267462666,4372.808796712972,4796.4118334306995,4996.513946782017,4117.292267462666,4117.292267462666,campaign,876.3594075,2.1005523943802604,2.533162822295843,4.052764529805763,4.698177747880987,4.989743659153875,5.473110452609251,5.701443841443577,4.698177747880987,30,0.0
